////////////////////////////////////////
/////////// K := 2; N := 15; ///////////
////////////////////////////////////////

T = 1.26425 [s]

Server #       U              X [1/s]        n_avg          R [s]          
0              0.593237       118.647        1.41745        0.0119467      
1              0.237295       11.8647        0.310267       0.0261504      
2              0.177971       11.8647        0.216123       0.0182156      
3              0.177971       11.8647        0.216123       0.0182156      
4              0.925449       46.2725        6.42002        0.138744       
5              0.925449       46.2725        6.42002        0.138744       

////////////////////////////////////////
/////////// K := 3; N := 15; ///////////
////////////////////////////////////////

T = 0.940921 [s]

Server #       U              X [1/s]        n_avg          R [s]          
0              0.797092       159.418        3.12848        0.0196244      
1              0.318837       15.9418        0.463587       0.0290799      
2              0.239128       15.9418        0.312488       0.0196017      
3              0.239128       15.9418        0.312488       0.0196017      
4              0.828975       41.4488        3.59432        0.0867171      
5              0.828975       41.4488        3.59432        0.0867171      
6              0.828975       41.4488        3.59432        0.0867171      

////////////////////////////////////////
/////////// K := 4; N := 15; ///////////
////////////////////////////////////////

T = 0.82424 [s]

Server #       U              X [1/s]        n_avg          R [s]          
0              0.909929       181.986        5.06255        0.0278184      
1              0.363971       18.1986        0.564297       0.0310078      
2              0.272979       18.1986        0.372517       0.0204696      
3              0.272979       18.1986        0.372517       0.0204696      
4              0.709744       35.4872        2.15703        0.0607833      
5              0.709744       35.4872        2.15703        0.0607833      
6              0.709744       35.4872        2.15703        0.0607833      
7              0.709744       35.4872        2.15703        0.0607833      

////////////////////////////////////////
/////////// K := 5; N := 15; ///////////
////////////////////////////////////////

T = 0.782382 [s]

Server #       U              X [1/s]        n_avg          R [s]          
0              0.958611       191.722        6.51962        0.0340055      
1              0.383445       19.1722        0.613722       0.032011       
2              0.287583       19.1722        0.400779       0.0209041      
3              0.287583       19.1722        0.400779       0.0209041      
4              0.598174       29.9087        1.41302        0.0472445      
5              0.598174       29.9087        1.41302        0.0472445      
6              0.598174       29.9087        1.41302        0.0472445      
7              0.598174       29.9087        1.41302        0.0472445      
8              0.598174       29.9087        1.41302        0.0472445      

////////////////////////////////////////
/////////// K := 6; N := 15; ///////////
////////////////////////////////////////

T = 0.766336 [s]

Server #       U              X [1/s]        n_avg          R [s]          
0              0.978683       195.737        7.46469        0.0381364      
1              0.391473       19.5737        0.636316       0.0325088      
2              0.293605       19.5737        0.413261       0.0211131      
3              0.293605       19.5737        0.413261       0.0211131      
4              0.508915       25.4458        1.01208        0.039774       
5              0.508915       25.4458        1.01208        0.039774       
6              0.508915       25.4458        1.01208        0.039774       
7              0.508915       25.4458        1.01208        0.039774       
8              0.508915       25.4458        1.01208        0.039774       
9              0.508915       25.4458        1.01208        0.039774       

////////////////////////////////////////
/////////// K := 7; N := 15; ///////////
////////////////////////////////////////

T = 0.759417 [s]

Server #       U              X [1/s]        n_avg          R [s]          
0              0.9876         197.52         8.07606        0.0408873      
1              0.39504        19.752         0.647255       0.0327691      
2              0.29628        19.752         0.419129       0.0212196      
3              0.29628        19.752         0.419129       0.0212196      
4              0.440187       22.0094        0.776918       0.0352994      
5              0.440187       22.0094        0.776918       0.0352994      
6              0.440187       22.0094        0.776918       0.0352994      
7              0.440187       22.0094        0.776918       0.0352994      
8              0.440187       22.0094        0.776918       0.0352994      
9              0.440187       22.0094        0.776918       0.0352994      
10             0.440187       22.0094        0.776918       0.0352994      

////////////////////////////////////////
/////////// K := 8; N := 15; ///////////
////////////////////////////////////////

T = 0.756051 [s]

Server #       U              X [1/s]        n_avg          R [s]          
0              0.991997       198.399        8.48873        0.0427861      
1              0.396799       19.8399        0.653057       0.0329163      
2              0.297599       19.8399        0.422163       0.0212784      
3              0.297599       19.8399        0.422163       0.0212784      
4              0.386879       19.3439        0.626736       0.0323996      
5              0.386879       19.3439        0.626736       0.0323996      
6              0.386879       19.3439        0.626736       0.0323996      
7              0.386879       19.3439        0.626736       0.0323996      
8              0.386879       19.3439        0.626736       0.0323996      
9              0.386879       19.3439        0.626736       0.0323996      
10             0.386879       19.3439        0.626736       0.0323996      
11             0.386879       19.3439        0.626736       0.0323996      

