////////////////////////////////////////
/////////// K := 2; N := 15; ///////////
////////////////////////////////////////

T = 0.12642524712185024 [s]

Server #        U               X [1/s]         n_avg           R [s]          
0               0.593288        118.647188      1.867987        0.015744       
1               0.237869        11.880093       0.356158        0.029979       
2               0.178108        11.859954       0.262713        0.022151       
3               0.178206        11.867049       0.262565        0.022126       
4               0.924971        46.242234       6.112942        0.132194       
5               0.925644        46.275637       6.137634        0.132632       


////////////////////////////////////////
/////////// K := 3; N := 15; ///////////
////////////////////////////////////////

T = 0.09408864151900885 [s]

Server #        U               X [1/s]         n_avg           R [s]          
0               0.796818        159.424132      3.402117        0.021340       
1               0.318798        15.943229       0.502199        0.031499       
2               0.238900        15.929491       0.354517        0.022255       
3               0.239479        15.968866       0.355364        0.022254       
4               0.829254        41.475394       3.470345        0.083672       
5               0.828883        41.456794       3.467397        0.083639       
6               0.828131        41.419248       3.448061        0.083248       


////////////////////////////////////////
/////////// K := 4; N := 15; ///////////
////////////////////////////////////////

T = 0.08235948746979199 [s]

Server #        U               X [1/s]         n_avg           R [s]          
0               0.910241        182.128380      5.053129        0.027745       
1               0.363756        18.215775       0.598799        0.032873       
2               0.273064        18.231748       0.412277        0.022613       
3               0.272439        18.190926       0.411906        0.022643       
4               0.709926        35.519421       2.131093        0.059998       
5               0.709476        35.496817       2.131005        0.060034       
6               0.710187        35.532350       2.130871        0.059970       
7               0.710073        35.526586       2.130920        0.059981       


////////////////////////////////////////
/////////// K := 5; N := 15; ///////////
////////////////////////////////////////

T = 0.07824568820071323 [s]

Server #        U               X [1/s]         n_avg           R [s]          
0               0.958779        191.703854      6.291335        0.032818       
1               0.382401        19.138912       0.646784        0.033794       
2               0.287708        19.199618       0.441822        0.023012       
3               0.287140        19.161528       0.440579        0.022993       
4               0.597491        29.889919       1.435948        0.048041       
5               0.597432        29.886933       1.435630        0.048035       
6               0.598318        29.932488       1.439835        0.048103       
7               0.597575        29.894063       1.434575        0.047989       
8               0.597628        29.896644       1.433492        0.047948       


////////////////////////////////////////
/////////// K := 6; N := 15; ///////////
////////////////////////////////////////

T = 0.07667212225890507 [s]

Server #        U               X [1/s]         n_avg           R [s]          
0               0.978552        195.638252      7.100898        0.036296       
1               0.391297        19.539653       0.673581        0.034472       
2               0.293768        19.559502       0.456550        0.023342       
3               0.293890        19.567708       0.456239        0.023316       
4               0.509496        25.456701       1.052820        0.041357       
5               0.509049        25.434225       1.053028        0.041402       
6               0.509108        25.437153       1.053471        0.041415       
7               0.509155        25.439317       1.052843        0.041386       
8               0.508486        25.385891       1.048261        0.041293       
9               0.509218        25.421944       1.052310        0.041394       


////////////////////////////////////////
/////////// K := 7; N := 15; ///////////
////////////////////////////////////////

T = 0.0758975366857127 [s]

Server #        U               X [1/s]         n_avg           R [s]          
0               0.987634        197.634873      7.664153        0.038779       
1               0.394863        19.760799       0.685161        0.034673       
2               0.296072        19.755405       0.462176        0.023395       
3               0.295835        19.739537       0.461770        0.023393       
4               0.440113        22.022234       0.817199        0.037108       
5               0.439900        22.011470       0.816523        0.037095       
6               0.440519        22.042072       0.819082        0.037160       
7               0.440157        22.024167       0.818044        0.037143       
8               0.440504        22.041458       0.819347        0.037173       
9               0.439547        21.993380       0.816034        0.037104       
10              0.440484        22.040556       0.820511        0.037227       


////////////////////////////////////////
/////////// K := 8; N := 15; ///////////
////////////////////////////////////////

T = 0.07559653452886297 [s]

Server #        U               X [1/s]         n_avg           R [s]          
0               0.991857        198.421794      8.037059        0.040505       
1               0.396536        19.831887       0.692313        0.034909       
2               0.297461        19.835984       0.465988        0.023492       
3               0.297483        19.837685       0.466860        0.023534       
4               0.386490        19.327500       0.667018        0.034511       
5               0.386746        19.340359       0.666261        0.034449       
6               0.386956        19.351100       0.667771        0.034508       
7               0.386707        19.338183       0.667267        0.034505       
8               0.387148        19.360579       0.668581        0.034533       
9               0.387393        19.372188       0.668612        0.034514       
10              0.386456        19.325741       0.665329        0.034427       
11              0.387229        19.364676       0.666942        0.034441       


