////////////////////////////////////////
/////////// K := 2; N := 15; ///////////
////////////////////////////////////////

T = 1.263864801667197 [s]

Server #        U               X [1/s]         n_avg           R [s]          
0               0.593386        118.683581      1.870361        0.015759       
1               0.237365        11.868300       0.355659        0.029967       
2               0.178056        11.870449       0.262583        0.022121       
3               0.178082        11.872151       0.262635        0.022122       
4               0.925547        46.282935       6.123641        0.132309       
5               0.925672        46.289148       6.125121        0.132323       


////////////////////////////////////////
/////////// K := 3; N := 15; ///////////
////////////////////////////////////////

T = 0.9409514922980987 [s]

Server #        U               X [1/s]         n_avg           R [s]          
0               0.797086        159.413106      3.406203        0.021367       
1               0.318790        15.942167       0.501913        0.031483       
2               0.239107        15.943121       0.354773        0.022252       
3               0.239067        15.940522       0.354787        0.022257       
4               0.829080        41.455582       3.463302        0.083542       
5               0.828786        41.440713       3.459410        0.083479       
6               0.828908        41.446952       3.459612        0.083471       


////////////////////////////////////////
/////////// K := 4; N := 15; ///////////
////////////////////////////////////////

T = 0.8241190674612524 [s]

Server #        U               X [1/s]         n_avg           R [s]          
0               0.910009        182.012534      5.046726        0.027727       
1               0.363990        18.198973       0.598622        0.032893       
2               0.273052        18.202956       0.412844        0.022680       
3               0.273061        18.203538       0.412847        0.022680       
4               0.709797        35.492800       2.131775        0.060062       
5               0.709817        35.493788       2.132216        0.060073       
6               0.709724        35.489143       2.131996        0.060075       
7               0.709804        35.493156       2.132975        0.060095       


////////////////////////////////////////
/////////// K := 5; N := 15; ///////////
////////////////////////////////////////

T = 0.7824095743053915 [s]

Server #        U               X [1/s]         n_avg           R [s]          
0               0.958573        191.715445      6.281148        0.032763       
1               0.383355        19.170571       0.648582        0.033832       
2               0.287556        19.173171       0.441666        0.023036       
3               0.287501        19.169526       0.441561        0.023035       
4               0.598124        29.907122       1.436897        0.048045       
5               0.598069        29.904415       1.436718        0.048044       
6               0.598200        29.910889       1.437678        0.048065       
7               0.598180        29.909896       1.438087        0.048081       
8               0.598117        29.906776       1.437664        0.048072       


////////////////////////////////////////
/////////// K := 6; N := 15; ///////////
////////////////////////////////////////

T = 0.7664090320415014 [s]

Server #        U               X [1/s]         n_avg           R [s]          
0               0.978675        195.717944      7.108613        0.036321       
1               0.391571        19.576261       0.673699        0.034414       
2               0.293713        19.578581       0.455814        0.023281       
3               0.293559        19.568316       0.455511        0.023278       
4               0.509096        25.450210       1.052271        0.041346       
5               0.508834        25.437244       1.050362        0.041292       
6               0.508947        25.442869       1.050755        0.041299       
7               0.508962        25.443617       1.050988        0.041307       
8               0.508848        25.437911       1.050769        0.041307       
9               0.508902        25.440578       1.051217        0.041321       


////////////////////////////////////////
/////////// K := 7; N := 15; ///////////
////////////////////////////////////////

T = 0.7594370798281044 [s]

Server #        U               X [1/s]         n_avg           R [s]          
0               0.987572        197.514717      7.657600        0.038770       
1               0.395059        19.751562       0.686223        0.034743       
2               0.296242        19.748164       0.462722        0.023431       
3               0.296268        19.749844       0.462590        0.023422       
4               0.440267        22.012107       0.818920        0.037203       
5               0.440117        22.004565       0.818471        0.037196       
6               0.440191        22.008307       0.818630        0.037196       
7               0.440178        22.007651       0.818531        0.037193       
8               0.440222        22.009832       0.818898        0.037206       
9               0.440242        22.010835       0.818636        0.037192       
10              0.440312        22.014373       0.818780        0.037193       


////////////////////////////////////////
/////////// K := 8; N := 15; ///////////
////////////////////////////////////////

T = 0.7560718802577039 [s]

Server #        U               X [1/s]         n_avg           R [s]          
0               0.991986        198.393835      8.038137        0.040516       
1               0.396822        19.840437       0.693941        0.034976       
2               0.297620        19.840656       0.466608        0.023518       
3               0.297555        19.836286       0.466590        0.023522       
4               0.386826        19.340196       0.666630        0.034469       
5               0.386948        19.346328       0.666898        0.034472       
6               0.386955        19.346729       0.667191        0.034486       
7               0.386890        19.343449       0.666825        0.034473       
8               0.386929        19.345427       0.667071        0.034482       
9               0.386758        19.336799       0.666447        0.034465       
10              0.386916        19.344756       0.667041        0.034482       
11              0.386863        19.342112       0.666621        0.034465       


