////////////////////////////////////////
/////////// K := 2; N := 10; ///////////
////////////////////////////////////////

T = 0.88371 [s]

Server #       U              X [1/s]        n_avg          R [s]          
0              0.565796       113.159        1.22684        0.0108417      
1              0.226319       11.3159        0.290568       0.0256778      
2              0.169739       11.3159        0.203567       0.0179894      
3              0.169739       11.3159        0.203567       0.0179894      
4              0.882642       44.1321        4.03773        0.0914919      
5              0.882642       44.1321        4.03773        0.0914919      

////////////////////////////////////////
/////////// K := 3; N := 10; ///////////
////////////////////////////////////////

T = 0.688326 [s]

Server #       U              X [1/s]        n_avg          R [s]          
0              0.7264         145.28         2.09267        0.0144044      
1              0.29056        14.528         0.402364       0.0276958      
2              0.21792        14.528         0.275637       0.0189728      
3              0.21792        14.528         0.275637       0.0189728      
4              0.755456       37.7728        2.3179         0.0613642      
5              0.755456       37.7728        2.3179         0.0613642      
6              0.755456       37.7728        2.3179         0.0613642      

////////////////////////////////////////
/////////// K := 4; N := 10; ///////////
////////////////////////////////////////

T = 0.610657 [s]

Server #       U              X [1/s]        n_avg          R [s]          
0              0.818791       163.758        2.81808        0.0172088      
1              0.327516       16.3758        0.47466        0.0289854      
2              0.245637       16.3758        0.320692       0.0195833      
3              0.245637       16.3758        0.320692       0.0195833      
4              0.638657       31.9328        1.51647        0.0474894      
5              0.638657       31.9328        1.51647        0.0474894      
6              0.638657       31.9328        1.51647        0.0474894      
7              0.638657       31.9328        1.51647        0.0474894      

////////////////////////////////////////
/////////// K := 5; N := 10; ///////////
////////////////////////////////////////

T = 0.574122 [s]

Server #       U              X [1/s]        n_avg          R [s]          
0              0.870895       174.179        3.35001        0.0192331      
1              0.348358       17.4179        0.518946       0.0297938      
2              0.261268       17.4179        0.347631       0.0199583      
3              0.261268       17.4179        0.347631       0.0199583      
4              0.543438       27.1719        1.08716        0.0400103      
5              0.543438       27.1719        1.08716        0.0400103      
6              0.543438       27.1719        1.08716        0.0400103      
7              0.543438       27.1719        1.08716        0.0400103      
8              0.543438       27.1719        1.08716        0.0400103      

////////////////////////////////////////
/////////// K := 6; N := 10; ///////////
////////////////////////////////////////

T = 0.554582 [s]

Server #       U              X [1/s]        n_avg          R [s]          
0              0.901579       180.316        3.73034        0.0206878      
1              0.360632       18.0316        0.54669        0.0303184      
2              0.270474       18.0316        0.364201       0.020198       
3              0.270474       18.0316        0.364201       0.020198       
4              0.468821       23.4411        0.832428       0.0355115      
5              0.468821       23.4411        0.832428       0.0355115      
6              0.468821       23.4411        0.832428       0.0355115      
7              0.468821       23.4411        0.832428       0.0355115      
8              0.468821       23.4411        0.832428       0.0355115      
9              0.468821       23.4411        0.832428       0.0355115      

////////////////////////////////////////
/////////// K := 7; N := 10; ///////////
////////////////////////////////////////

T = 0.543024 [s]

Server #       U              X [1/s]        n_avg          R [s]          
0              0.920769       184.154        4.00655        0.0217565      
1              0.368308       18.4154        0.564896       0.0306753      
2              0.276231       18.4154        0.37492        0.0203591      
3              0.276231       18.4154        0.37492        0.0203591      
4              0.4104         20.52          0.668388       0.0325725      
5              0.4104         20.52          0.668388       0.0325725      
6              0.4104         20.52          0.668388       0.0325725      
7              0.4104         20.52          0.668388       0.0325725      
8              0.4104         20.52          0.668388       0.0325725      
9              0.4104         20.52          0.668388       0.0325725      
10             0.4104         20.52          0.668388       0.0325725      

////////////////////////////////////////
/////////// K := 8; N := 10; ///////////
////////////////////////////////////////

T = 0.53563 [s]

Server #       U              X [1/s]        n_avg          R [s]          
0              0.93348        186.696        4.2126         0.022564       
1              0.373392       18.6696        0.577432       0.030929       
2              0.280044       18.6696        0.382216       0.0204726      
3              0.280044       18.6696        0.382216       0.0204726      
4              0.364057       18.2029        0.555691       0.0305277      
5              0.364057       18.2029        0.555691       0.0305277      
6              0.364057       18.2029        0.555691       0.0305277      
7              0.364057       18.2029        0.555691       0.0305277      
8              0.364057       18.2029        0.555691       0.0305277      
9              0.364057       18.2029        0.555691       0.0305277      
10             0.364057       18.2029        0.555691       0.0305277      
11             0.364057       18.2029        0.555691       0.0305277      

